from,to,relation
JL,N,1
JL,SU65,2
JL,TTP,2
JL,EA,2
JL,CA,2
JL,USCM,2
MT,B,1
MT,RCC,2
MT,VC,2
MT,VZ,2
MT,LC,2
MT,PF,2
MT,VCM,2
ET,N,1
ET,TTP,2
ET,AA,2
ET,ET,2
ET,A,2
HK,D,1
HK,VfBU,2
HK,OS,2
HK,BS,2
JN,P,1
JN,GBL,2
JN,BKS,2
JN,KS ,2
JN,SMS ,2
IV,BG,1
IV,AK,2
IV,RCC,2
IV,BF,2
IV,CL,2
IV,RRV,2
IV,CSMT,2
SL,USA,1
SL,KAF,2
SL,BEY,2
SL,IVC,2
SL,PSU,2
MS,S,1
MS,BVMB,2
MS,DSC,2
MS,BSBC,2
MS,STM,2
MS,DIT,2
MS,GHO,2
MS,CVB,2
HJ,N,1
HJ,VfBT,2
HJ,VCS,2
HD,D,1
HD,MTV,2
HD,BS,2
KR,USA,1
KR,UA,2
KR,BA,2
KR,LBM,2
LB,D,1
LB,FVTM,2
LB,BS,2
LB,VCO,2
RK,F,1
RK,OKNB,2
RK,LPV,2
RK,LPK,2
RK,HL,2
RK,K,2
RK,SP,2
LG,D,1
LG,MTV,2
LG,BS,2
